,doc_key,num_mentions,link_time,dataset,num_mentions_bins
0,6593_history_of_tom_jones_a_foundling_brat_0,219,0.11702537536621094,litbank,"(100, 500]"
1,271_black_beauty_brat_0,350,0.18419909477233887,litbank,"(100, 500]"
2,730_oliver_twist_brat_0,226,0.11759567260742188,litbank,"(100, 500]"
3,16357_mary_a_fiction_brat_0,278,0.14429092407226562,litbank,"(100, 500]"
4,2807_to_have_and_to_hold_brat_0,316,0.17043232917785645,litbank,"(100, 500]"
5,1023_bleak_house_brat_0,256,0.14371490478515625,litbank,"(100, 500]"
6,1155_the_secret_adversary_brat_0,290,0.15239644050598145,litbank,"(100, 500]"
7,238_dear_enemy_brat_0,328,0.17653274536132812,litbank,"(100, 500]"
8,1661_the_adventures_of_sherlock_holmes_brat_0,287,0.14857840538024902,litbank,"(100, 500]"
9,711_allan_quatermain_brat_0,282,0.14632773399353027,litbank,"(100, 500]"
10,"001_The_Frog-King,_or_Iron_Henry_0",316,0.159837007522583,fantasy,"(100, 500]"
11,008_The_Wonderful_Musician_0,160,0.08315515518188477,fantasy,"(100, 500]"
12,031_The_Girl_Without_Hands_0,570,0.30059218406677246,fantasy,"(500, 1250]"
13,039_The_Elves_0,214,0.11220717430114746,fantasy,"(100, 500]"
14,042_The_Godfather_0,138,0.06984329223632812,fantasy,"(100, 500]"
15,045_Thumbling_as_Journeyman_0,327,0.16861319541931152,fantasy,"(100, 500]"
16,059_Frederick_and_Catherine_0,622,0.32923054695129395,fantasy,"(500, 1250]"
17,074_The_Fox_and_His_Cousin_0,76,0.03815913200378418,fantasy,"(0, 100]"
18,109_The_Shroud_0,53,0.026641368865966797,fantasy,"(0, 100]"
19,111_The_Skilful_Huntsman_0,565,0.29840087890625,fantasy,"(500, 1250]"
20,114_The_Cunning_Little_Tailor_0,208,0.10814452171325684,fantasy,"(100, 500]"
21,"130_One-eye,_Two-eyes,_and_Three-eyes_0",593,0.31030964851379395,fantasy,"(500, 1250]"
22,136_Iron_John_0,604,0.3176686763763428,fantasy,"(500, 1250]"
23,138_Knoist_and_his_Three_Sons_0,27,0.013424873352050781,fantasy,"(0, 100]"
24,144_The_Donkey_0,207,0.10787820816040039,fantasy,"(100, 500]"
25,145_The_Ungrateful_Son_0,38,0.019048213958740234,fantasy,"(0, 100]"
26,148_The_Lord’s_Animals_and_the_Devil’s_0,63,0.03169894218444824,fantasy,"(0, 100]"
27,156_Odds_And_Ends_0,43,0.021625995635986328,fantasy,"(0, 100]"
28,191_The_Sea-Hare_0,247,0.1263265609741211,fantasy,"(100, 500]"
29,198_Maid_Maleen_0,310,0.16161346435546875,fantasy,"(100, 500]"
30,Aladdin_0,1321,0.7369928359985352,aft,"(1250, 2500]"
31,Alibaba_0,1408,0.7957077026367188,aft,"(1250, 2500]"
32,alice_0,1857,1.1998841762542725,aft,"(1250, 2500]"
